model,hyperparameters,aggregate,average_rmse_arousal,average_rmse_valence
XGBRegressor,"{'n_estimators': 50, 'max_depth': 6}","['mean', 'std', 'max', 'min']",1.8420305012357865,0.8512174610099216
XGBRegressor,"{'n_estimators': 100, 'max_depth': 10}","['mean', 'std', 'max', 'min']",1.8612543264192685,0.8321753812552851
RandomForestRegressor,"{'n_estimators': 100, 'max_depth': 10, 'min_samples_split': 2}","['mean', 'std', 'max', 'min']",1.5696585286554676,0.7462244599003727
RandomForestRegressor,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 2}","['mean', 'std', 'max', 'min']",1.576694636339753,0.7422941941975679
RandomForestRegressor,"{'n_estimators': 50, 'max_depth': 10, 'min_samples_split': 5}","['mean', 'std', 'max', 'min']",0.9154896889539709,0.6097915240792664
RandomForestRegressor,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 5}","['mean', 'std', 'max', 'min']",0.9539548663728331,0.5991210056433077
RandomForestRegressor,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 5}","['mean', 'std', 'max', 'min']",1.0940991902737112,0.7537857374771915
XGBRegressor,"{'n_estimators': 100, 'max_depth': 6}",['min'],1.2180360777061703,0.6117724385075366
RandomForestRegressor,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 5}","['mean', 'std', 'max', 'min']",1.6299151722719938,2.2462372422247916
RandomForestRegressor,"{'n_estimators': 100, 'max_depth': 10, 'min_samples_split': 5}",['min'],1.7873114399430061,2.199872620880242
XGBRegressor,"{'n_estimators': 100, 'max_depth': 6}","['mean', 'std', 'max', 'min']",1.124838278430187,0.9689491744814864
RandomForestRegressor,"{'n_estimators': 50, 'max_depth': 10, 'min_samples_split': 5}",['min'],1.3079292879310476,0.9532769201613251
RandomForestRegressor,"{'n_estimators': 100, 'max_depth': None, 'min_samples_split': 5}",['min'],0.9488673666456419,0.3888547367892838
XGBRegressor,"{'n_estimators': 100, 'max_depth': 6}","['mean', 'std', 'max', 'min']",1.1113964699629741,0.37102924654428926
RandomForestRegressor,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 5}",['min'],1.2765486305417104,3.035583601317836
RandomForestRegressor,"{'n_estimators': 100, 'max_depth': None, 'min_samples_split': 2}","['mean', 'std', 'max', 'min']",1.4014396817628063,2.3672685964733837
RandomForestRegressor,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 2}","['mean', 'std', 'max', 'min']",1.0737960993631364,2.5652891852612796
RandomForestRegressor,"{'n_estimators': 50, 'max_depth': 10, 'min_samples_split': 5}",['min'],1.3956790501790628,2.203190252094392
XGBRegressor,"{'n_estimators': 50, 'max_depth': 10}",['min'],1.9940630969228963,1.7221998203680962
RandomForestRegressor,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 5}","['mean', 'std', 'max', 'min']",2.661228938490123,1.6444623297411318
RandomForestRegressor,"{'n_estimators': 50, 'max_depth': 10, 'min_samples_split': 2}",['min'],0.16111929003906908,0.43768985827149387
RandomForestRegressor,"{'n_estimators': 100, 'max_depth': 10, 'min_samples_split': 5}","['mean', 'std', 'max', 'min']",0.16416647025000183,0.33985029020297225
RandomForestRegressor,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 2}",['min'],1.0803857728949942,1.1146650582328548
RandomForestRegressor,"{'n_estimators': 100, 'max_depth': None, 'min_samples_split': 2}",['min'],1.0856681491127917,1.1071905131597182
XGBRegressor,"{'n_estimators': 100, 'max_depth': 6}",['min'],0.9141983922590056,0.8047932807316087
RandomForestRegressor,"{'n_estimators': 100, 'max_depth': None, 'min_samples_split': 2}",['min'],0.93473764985256,0.7256451742514929
RandomForestRegressor,"{'n_estimators': 100, 'max_depth': None, 'min_samples_split': 5}","['mean', 'std', 'max', 'min']",0.1748618926585723,2.3249042102854625
RandomForestRegressor,"{'n_estimators': 100, 'max_depth': None, 'min_samples_split': 2}","['mean', 'std', 'max', 'min']",0.17700140050808497,2.318464604187243
RandomForestRegressor,"{'n_estimators': 50, 'max_depth': 10, 'min_samples_split': 2}","['mean', 'std', 'max', 'min']",0.3956227751497749,0.6338011145765431
RandomForestRegressor,"{'n_estimators': 50, 'max_depth': 10, 'min_samples_split': 2}","['mean', 'std', 'max', 'min']",0.3956227751497749,0.6338011145765431
XGBRegressor,"{'n_estimators': 50, 'max_depth': 6}",['min'],1.2348058125232348,1.09151006197177
RandomForestRegressor,"{'n_estimators': 100, 'max_depth': None, 'min_samples_split': 5}","['mean', 'std', 'max', 'min']",1.240596209249398,0.7917119423082246
XGBRegressor,"{'n_estimators': 50, 'max_depth': 6}",['min'],1.057090578803078,2.396442263580057
RandomForestRegressor,"{'n_estimators': 100, 'max_depth': None, 'min_samples_split': 5}",['min'],1.1569965346866062,2.243423322785747
RandomForestRegressor,"{'n_estimators': 100, 'max_depth': None, 'min_samples_split': 5}","['mean', 'std', 'max', 'min']",1.6902730658714658,1.6454257933376526
RandomForestRegressor,"{'n_estimators': 50, 'max_depth': 10, 'min_samples_split': 2}",['min'],1.8510502271066993,1.1984180725896119
RandomForestRegressor,"{'n_estimators': 50, 'max_depth': 10, 'min_samples_split': 5}","['mean', 'std', 'max', 'min']",0.8490017255175676,1.2645533496501284
XGBRegressor,"{'n_estimators': 100, 'max_depth': 6}",['min'],0.9966209580222586,1.1041288627877777
RandomForestRegressor,"{'n_estimators': 100, 'max_depth': None, 'min_samples_split': 2}",['min'],0.7261880589778222,0.7115246314927978
XGBRegressor,"{'n_estimators': 100, 'max_depth': 6}",['min'],0.8276278786072923,0.6574038724778956
RandomForestRegressor,"{'n_estimators': 100, 'max_depth': 10, 'min_samples_split': 5}","['mean', 'std', 'max', 'min']",0.6380488191888001,1.6526437403717817
RandomForestRegressor,"{'n_estimators': 100, 'max_depth': None, 'min_samples_split': 5}","['mean', 'std', 'max', 'min']",0.6510351370176967,1.630891540598516
RandomForestRegressor,"{'n_estimators': 100, 'max_depth': None, 'min_samples_split': 2}",['min'],1.073164070529341,2.486221360453477
RandomForestRegressor,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 2}","['mean', 'std', 'max', 'min']",1.292441159900517,2.0342491481052485
RandomForestRegressor,"{'n_estimators': 100, 'max_depth': 10, 'min_samples_split': 2}","['mean', 'std', 'max', 'min']",0.5483123903895838,2.244769863795733
RandomForestRegressor,"{'n_estimators': 100, 'max_depth': None, 'min_samples_split': 5}",['min'],0.5825286204128913,1.958161489521187
XGBRegressor,"{'n_estimators': 100, 'max_depth': 6}",['min'],0.8408081329830556,0.9381788938810276
RandomForestRegressor,"{'n_estimators': 100, 'max_depth': 10, 'min_samples_split': 2}",['min'],0.8789148105757233,0.8514003742307601
RandomForestRegressor,"{'n_estimators': 100, 'max_depth': 10, 'min_samples_split': 5}",['min'],0.6823291374589795,0.9193800289325368
RandomForestRegressor,"{'n_estimators': 100, 'max_depth': 10, 'min_samples_split': 2}","['mean', 'std', 'max', 'min']",0.7789413132844052,0.8905749379577866
RandomForestRegressor,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 2}",['min'],0.45925272233122016,2.466337966411783
XGBRegressor,"{'n_estimators': 100, 'max_depth': 6}",['min'],0.5162959241264616,1.1967229781747741
RandomForestRegressor,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 5}","['mean', 'std', 'max', 'min']",0.8587825665323624,0.5825271903358423
RandomForestRegressor,"{'n_estimators': 100, 'max_depth': 10, 'min_samples_split': 2}","['mean', 'std', 'max', 'min']",0.868652288131047,0.5740702068390898
XGBRegressor,"{'n_estimators': 100, 'max_depth': 10}",['min'],1.4408905419941203,1.4800939634378196
RandomForestRegressor,"{'n_estimators': 100, 'max_depth': 10, 'min_samples_split': 2}","['mean', 'std', 'max', 'min']",1.6577703518489812,1.295178978760423
