model,hyperparameters,aggregate,average_rmse_arousal,average_rmse_valence,window
XGBRegressor,"{'n_estimators': 50, 'max_depth': 6, 'learning_rate': 0.1, 'subsample': 0.8}","['mean', 'std', 'max', 'min']",1.857865908379428,1.7246605869796026,10000
XGBRegressor,"{'n_estimators': 50, 'max_depth': 6, 'learning_rate': 0.1, 'subsample': 0.8}","['mean', 'std', 'max', 'min']",1.857865908379428,1.7246605869796026,10000
