model,hyperparameters,aggregate,average_rmse
RandomForestRegressor,"{'n_estimators': 50, 'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'auto'}","['max', 'min']",0.1465156595208474
XGBRegressor,"{'n_estimators': 50, 'max_depth': 10, 'learning_rate': 0.1, 'subsample': 0.8}",['std'],0.053332685849837524
RandomForestRegressor,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt'}","['max', 'min']",0.2794813540738713
RandomForestRegressor,"{'n_estimators': 100, 'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'sqrt'}","['mean', 'std', 'max', 'min']",0.14822024198792216
RandomForestRegressor,"{'n_estimators': 100, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'auto'}",['mean'],1.064598477678452
RandomForestRegressor,"{'n_estimators': 50, 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'auto'}",['min'],0.20010400924110772
RandomForestRegressor,"{'n_estimators': 100, 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'auto'}","['max', 'min']",0.34502347100858827
RandomForestRegressor,"{'n_estimators': 100, 'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'auto'}",['max'],0.22452688857880848
XGBRegressor,"{'n_estimators': 100, 'max_depth': 10, 'learning_rate': 0.1, 'subsample': 0.8}",['min'],0.21447494497131875
RandomForestRegressor,"{'n_estimators': 100, 'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'auto'}",['max'],0.2364750509869153
RandomForestRegressor,"{'n_estimators': 50, 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'auto'}","['std', 'max']",0.3333622358194645
XGBRegressor,"{'n_estimators': 100, 'max_depth': 10, 'learning_rate': 0.1, 'subsample': 0.8}",['enlarged'],0.2919369621551552
RandomForestRegressor,"{'n_estimators': 100, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'auto'}","['max', 'min']",0.9030267823084006
XGBRegressor,"{'n_estimators': 50, 'max_depth': 6, 'learning_rate': 0.1, 'subsample': 0.8}",['mean'],0.23482768418642438
RandomForestRegressor,"{'n_estimators': 100, 'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'auto'}","['mean', 'std']",0.17568265317669654
XGBRegressor,"{'n_estimators': 50, 'max_depth': 10, 'learning_rate': 0.1, 'subsample': 0.8}",['min'],0.08210009951951949
XGBRegressor,"{'n_estimators': 50, 'max_depth': 6, 'learning_rate': 0.1, 'subsample': 0.5}",['mean'],0.38883597994140723
RandomForestRegressor,"{'n_estimators': 50, 'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'auto'}","['max', 'min']",0.4117114472720559
RandomForestRegressor,"{'n_estimators': 100, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'auto'}",['enlarged'],0.321338393017816
RandomForestRegressor,"{'n_estimators': 100, 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'auto'}",['enlarged'],0.1206457831732048
RandomForestRegressor,"{'n_estimators': 50, 'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'sqrt'}",['min'],0.8560163302926688
